Plot_seq;Var;Seed_ID;Row;Range;Treatment;Row_in_Field;Rep;Category;Trial;Year;Full_rank;Experimental_Unit
Fill_204;Fill;Fill;43;1;Fill;45;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_205;Fill;Fill;44;1;Fill;46;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_206;Fill;Fill;44;0;Fill;46;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_207;Fill;Fill;44;-1;Fill;46;0;Fill;Fill;2022;FALSE;Invite5.3Conv
Fill_208;Fill;Fill;45;1;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_209;Fill;Fill;45;2;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_210;Fill;Fill;45;3;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_211;Fill;Fill;45;4;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_212;Fill;Fill;45;5;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_213;Fill;Fill;45;6;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_214;Fill;Fill;45;7;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_215;Fill;Fill;45;8;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_216;Fill;Fill;45;9;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_217;Fill;Fill;45;10;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_218;Fill;Fill;45;0;Fill;47;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_219;Fill;Fill;45;-1;Fill;47;0;Fill;Fill;2022;FALSE;Invite5.3Conv
Fill_220;Fill;Fill;46;-1;Fill;48;0;Fill;Fill;2022;FALSE;Invite5.3Conv
Fill_221;Fill;Fill;46;0;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_222;Fill;Fill;46;10;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_223;Fill;Fill;46;9;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_224;Fill;Fill;46;8;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_225;Fill;Fill;46;7;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_226;Fill;Fill;46;6;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_227;Fill;Fill;46;5;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_228;Fill;Fill;46;4;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_229;Fill;Fill;46;3;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_230;Fill;Fill;46;2;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_231;Fill;Fill;46;1;Fill;48;0;Fill;Fill;2022;TRUE;Invite5.3Conv
Fill_232;Fill;Fill;36;-1;Fill;38;0;Fill;Fill;2022;FALSE;Fill
Fill_233;Fill;Fill;36;0;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_234;Fill;Fill;36;1;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_235;Fill;Fill;36;2;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_236;Fill;Fill;36;3;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_237;Fill;Fill;36;4;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_238;Fill;Fill;36;5;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_239;Fill;Fill;36;6;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_240;Fill;Fill;36;7;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_241;Fill;Fill;36;8;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_242;Fill;Fill;36;9;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_243;Fill;Fill;36;10;Fill;38;0;Fill;Fill;2022;TRUE;Fill
Fill_244;Fill;Fill;37;-1;Fill;39;0;Fill;Fill;2022;FALSE;Invite6.1
Fill_245;Fill;Fill;37;0;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_246;Fill;Fill;37;1;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_247;Fill;Fill;37;2;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_248;Fill;Fill;37;3;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_249;Fill;Fill;37;4;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_250;Fill;Fill;37;5;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_251;Fill;Fill;37;6;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_252;Fill;Fill;37;7;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_253;Fill;Fill;37;8;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_254;Fill;Fill;37;9;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
Fill_255;Fill;Fill;37;10;Fill;39;0;Fill;Fill;2022;TRUE;Invite6.1
